Totals & Averages,INVOICEID,IINVOICENUM,TENANTID,DINVOICED,DDUE,DPAIDTHRU,DDELETED,INVOICEDETAILID,LEDGERID,CHARGEID,PAYMENTID,EMPLOYEEID
,70124,192,1319,2010-06-04 09:06:59.343000,2010-06-02 23:59:59,,,162801,1522,585616,583352,95
,69733,182,1529,2010-06-02 09:40:16.733000,2010-06-02 23:59:59,,,162341,1736,585618,581799,93
,70570,211,1590,2010-06-12 08:49:12.500000,2010-06-27 23:59:59,,,163416,1801,585624,615904,91
,70051,183,1315,2010-06-03 09:15:05.377000,2010-06-03 23:59:59,,,162717,1518,586027,582732,93
,70058,185,1390,2010-06-03 09:16:30.110000,2010-06-03 23:59:59,,,162724,1594,586028,582739,93
,70052,184,1595,2010-06-03 09:15:44.470000,2010-06-03 23:59:59,,,162718,1807,586033,582733,93
,70061,186,1601,2010-06-03 09:16:52.813000,2010-06-03 23:59:59,,,162727,1813,586034,582742,93
,80934,278,1518,2010-06-30 08:02:51.140000,2010-07-15 23:59:59,,,177148,1724,586261,582968,91
,80934,278,1518,2010-06-30 08:02:51.140000,2010-07-15 23:59:59,,,177148,1724,586261,620383,91
,70121,189,1376,2010-06-04 09:06:31.547000,2010-06-04 23:59:59,,,162798,1579,586438,583349,95
,70123,191,1380,2010-06-04 09:06:53.890000,2010-06-04 23:59:59,,,162800,1583,586439,583351,95
,70119,187,1388,2010-06-04 09:06:20.640000,2010-06-04 23:59:59,,,162796,1592,586440,583347,95
,70125,193,1472,2010-06-04 09:07:03.937000,2010-06-04 23:59:59,,,162802,1678,586442,583353,95
,70122,190,1557,2010-06-04 09:06:40.970000,2010-06-04 23:59:59,,,162799,1766,586444,583350,95
,70120,188,1567,2010-06-04 09:06:26.093000,2010-06-04 23:59:59,,,162797,1776,586445,583348,95
,81146,280,1478,2010-07-01 09:19:39.907000,2010-06-19 23:59:59,,,177433,1684,586454,613448,93
,70167,196,1340,2010-06-05 08:43:46.250000,2010-06-05 23:59:59,,,162851,1757,586829,583938,95
,70165,194,1322,2010-06-05 08:40:57.453000,2010-06-20 23:59:59,,,162849,1525,586976,586370,95
,70166,195,1468,2010-06-05 08:41:01.843000,2010-06-20 23:59:59,,,162850,1674,586977,590640,95
,70262,201,1356,2010-06-07 09:01:04.907000,2010-06-06 23:59:59,,,162995,1559,587175,584521,93
,70264,203,1404,2010-06-07 09:01:25.640000,2010-06-07 23:59:59,,,162997,1609,587535,584525,93
,70263,202,1539,2010-06-07 09:01:11.047000,2010-06-07 23:59:59,,,162996,1746,587537,584522,93
,70265,204,1310,2010-06-07 09:01:34.483000,2010-06-07 23:59:59,,,162998,1789,587539,584526,93
