Totals & Averages,RECEIPTID,TENANTID,EMPLOYEEID,DCAMT,DRCPT,IRECEIPTNUM,PAYMENTID
,243506,1361,91,1080,2010-04-02 09:40:45.377000,111,405780
,243506,1361,91,1080,2010-04-02 09:40:45.377000,111,405781
,243506,1361,91,1080,2010-04-02 09:40:45.377000,111,405782
,243506,1361,91,1080,2010-04-02 09:40:45.377000,111,405783
,243508,1361,91,90,2010-04-02 09:51:10.250000,112,405786
,243519,1366,91,0,2010-04-02 10:20:00.437000,113,405799
,249727,1308,91,98,2010-04-02 10:25:17.970000,114,416417
,249727,1308,91,98,2010-04-02 10:25:17.970000,114,416418
,249729,1319,91,46,2010-04-02 10:35:07.280000,115,416420
,249730,1529,91,63,2010-04-02 10:35:55.157000,116,416421
,249731,1366,91,0,2010-04-02 10:39:34.297000,117,416422
,249734,1361,91,83,2010-04-02 10:51:58.797000,118,416425
,249741,1513,91,63,2010-04-02 10:56:07.017000,119,416432
,249751,1564,91,80,2010-04-02 11:04:30.187000,120,416451
,249753,1364,91,255,2010-04-02 11:05:38.517000,121,416453
,249753,1364,91,255,2010-04-02 11:05:38.517000,121,416454
,249756,1495,91,183,2010-04-02 11:06:50.360000,122,416457
,249757,1302,91,63,2010-04-02 11:07:32.563000,123,416458
,249759,1362,91,97,2010-04-02 11:08:22.250000,124,416460
,249768,1456,91,138,2010-04-02 11:19:21.517000,125,416491
,249768,1456,91,138,2010-04-02 11:19:21.517000,125,416492
,249768,1456,91,138,2010-04-02 11:19:21.517000,125,416493
,249775,1364,91,245,2010-04-02 11:31:57.627000,126,416520
,249775,1364,91,245,2010-04-02 11:31:57.627000,126,416521
,249775,1364,91,245,2010-04-02 11:31:57.627000,126,416522
,249848,1494,91,50,2010-04-02 13:04:36.030000,127,416612
,249850,1581,91,263,2010-04-02 13:08:21.970000,128,416616
,249850,1581,91,263,2010-04-02 13:08:21.970000,128,416617
,249858,1327,91,30,2010-04-02 13:26:41.673000,129,416629
,249863,3003,91,10,2010-04-02 13:33:18.233000,130,416639
,249869,4189,91,78,2010-04-02 13:53:58.017000,131,416645
,249869,4189,91,78,2010-04-02 13:53:58.017000,131,416646
,249871,4189,91,63,2010-04-02 13:56:10.077000,132,416648
,249875,1602,91,135,2010-04-02 14:02:31.423000,133,416651
,249877,1382,91,125,2010-04-02 14:05:51.423000,134,416653
,249881,1312,91,103,2010-04-02 14:08:19.530000,135,416658
,249885,1389,91,11,2010-04-02 14:14:07.407000,136,416662
,249888,157576,91,15,2010-04-02 14:20:37.983000,137,416665
,249897,1453,91,63,2010-04-02 14:38:25.827000,138,416679
,249920,1540,91,63,2010-04-02 15:15:54.517000,140,416726
,249924,19278,91,892,2010-04-02 15:21:56.610000,141,416730
,249924,19278,91,892,2010-04-02 15:21:56.610000,141,416731
,249924,19278,91,892,2010-04-02 15:21:56.610000,141,416732
,249924,19278,91,892,2010-04-02 15:21:56.610000,141,416733
,249924,19278,91,892,2010-04-02 15:21:56.610000,141,416734
,249924,19278,91,892,2010-04-02 15:21:56.610000,141,416735
,249924,19278,91,892,2010-04-02 15:21:56.610000,141,416736
,249927,1428,91,78,2010-04-02 15:26:24.750000,142,416739
,249927,1428,91,78,2010-04-02 15:26:24.750000,142,416740
,249941,19281,91,50,2010-04-02 15:51:42.517000,143,416769
,249944,1587,91,98,2010-04-02 15:55:26.157000,144,416776
,249944,1587,91,98,2010-04-02 15:55:26.157000,144,416777
,249945,1587,91,20,2010-04-02 15:56:08.173000,145,416778
,249967,1390,91,63,2010-04-02 16:23:23,146,416820
,249969,1601,91,135,2010-04-02 16:24:00.860000,147,416822
,249971,1595,91,40,2010-04-02 16:24:37.233000,148,416824
,249978,1523,91,103,2010-04-02 16:34:22.030000,149,416833
,250577,1407,91,93,2010-04-04 17:11:55.077000,150,417595
,250577,1407,91,93,2010-04-04 17:11:55.077000,150,417596
,250577,1407,91,93,2010-04-04 17:11:55.077000,150,417597
,250578,1447,91,60,2010-04-04 17:14:05.140000,151,417598
,250579,1471,91,95,2010-04-04 17:15:03.843000,152,417599
,250580,1548,91,80,2010-04-04 17:15:35.890000,153,417600
,250581,1546,91,63,2010-04-04 17:16:15.517000,154,417601
,250582,1367,91,190,2010-04-04 17:16:57.907000,155,417602
,250583,1581,91,196,2010-04-04 17:17:42.517000,156,417603
,250584,1594,91,50,2010-04-04 17:19:03.907000,157,417604
,250585,1307,91,83,2010-04-04 17:19:54.297000,158,417605
,250586,1382,91,235,2010-04-04 17:24:48.563000,159,417606
,250586,1382,91,235,2010-04-04 17:24:48.563000,159,417607
,250586,1382,91,235,2010-04-04 17:24:48.563000,159,417608
,250586,1382,91,235,2010-04-04 17:24:48.563000,159,417609
,250587,1585,91,83,2010-04-04 17:25:34.077000,160,417610
,250588,1531,91,63,2010-04-04 17:26:38.953000,161,417611
,250589,1405,91,167,2010-04-04 17:27:23.280000,162,417612
,250590,1593,91,56,2010-04-04 17:28:31.483000,163,417613
,250591,1432,91,73,2010-04-04 17:29:17.827000,164,417614
,250592,1472,91,83,2010-04-04 17:48:32.327000,165,417615
,250593,1557,91,73.5,2010-04-04 17:49:20.297000,166,417616
,250594,1567,91,103,2010-04-04 17:50:32.483000,167,417617
,250595,1380,91,93,2010-04-04 17:51:09.970000,168,417618
,250596,1340,91,93,2010-04-04 17:51:57.703000,169,417619
,250597,1392,91,113,2010-04-04 17:52:53.203000,170,417620
,250598,1574,91,46,2010-04-04 17:58:25.953000,171,417621
,250599,1561,91,15,2010-04-04 18:31:37.877000,172,417622
,250606,1542,91,0,2010-04-04 19:05:13,173,417632
,250608,1467,91,69,2010-04-04 19:15:16.923000,175,417633
,250691,1442,93,63,2010-04-05 11:57:46.483000,176,417766
,250693,1466,93,822,2010-04-05 11:59:52.577000,177,417768
,250693,1466,93,822,2010-04-05 11:59:52.577000,177,417769
,250693,1466,93,822,2010-04-05 11:59:52.577000,177,417770
,250693,1466,93,822,2010-04-05 11:59:52.577000,177,417771
,250693,1466,93,822,2010-04-05 11:59:52.577000,177,417772
,250693,1466,93,822,2010-04-05 11:59:52.577000,177,417773
,250693,1466,93,822,2010-04-05 11:59:52.577000,177,417774
,250694,1574,93,149,2010-04-05 12:01:31.483000,178,417775
,250697,1297,93,222,2010-04-05 12:04:19.983000,179,417778
,250697,1297,93,222,2010-04-05 12:04:19.983000,179,417779
,250764,1538,93,149,2010-04-05 13:34:33.390000,180,417866
,250764,1538,93,149,2010-04-05 13:34:33.390000,180,417867
,250766,1373,93,125,2010-04-05 13:36:06.110000,181,417870
,250767,1576,93,63,2010-04-05 13:38:35.030000,182,417871
,250811,1337,93,100,2010-04-05 14:52:12.860000,183,417929
,250811,1337,93,100,2010-04-05 14:52:12.860000,183,417930
,250811,1337,93,100,2010-04-05 14:52:12.860000,183,417931
,250818,1458,93,63,2010-04-05 14:55:44.280000,184,417938
